hour_of_year,season,u_mean_ms,u_prime_ms,u_total_ms,theta_deg,wind_vec_x_ms,wind_vec_y_ms,omega_rad_s,domega_dt,omega_cross_r_ms,rotor_rpm,tsr,cp_effective,aero_torque_nm,generator_torque_nm,brake_torque_nm,electrical_power_kw,particle_capture_fraction,particle_mean_h,particle_mean_radius_m
1,Amihan,3.3363758057408583,0.037003863640285115,3.3733796693811433,45.0,2.38533963973624,2.38533963973624,0.0,0.0,0.0,0.0,0.0,0.0,2.4973304174047057,4.091513823606848,0.0,0.0,1.0,4.734123878310252,2.2655608220003964
2,Amihan,3.1238677926363447,0.017670122074627467,3.1415379147109723,47.3,2.308762064738063,2.1304643151184206,0.5227111904422088,0.00014519755290061357,0.3920333928316566,4.991524186099597,0.1247902789891124,0.0,2.2469564256052297,3.39694141255427,0.0,0.001598057360656813,1.0,3.58590455140914,0.6650072583109166
3,Amihan,2.911359779531832,-0.10831066246280255,2.8030491170690293,47.2,2.056680848861966,1.9045073480104735,0.0,-0.00014519755290061357,0.0,0.0,0.0,0.0,1.5849845975897083,3.498199299847036,0.0,0.0,0.0,-2.366102020876263,1.0109540657670988
4,Amihan,2.836981974945252,-0.4136981097422285,2.4232838652030235,44.2,1.6894289451300726,1.7372779083123102,14.80652465884274,0.004112923516345205,11.104893494132055,141.3918953680117,4.58258054435636,0.0,1.1845219727074445,0.0,0.0,0.0,1.0,25.78665159544739,2.267582416576014
5,Amihan,2.858232776255704,-0.16917878216754426,2.6890539940881597,37.3,1.6295355281056045,2.1390711408840692,8.466374147112425,-0.0017611529199250873,6.349780610334319,80.84791773470232,2.361343663717503,0.3464409678759276,2.214559729957521,1.2963752522319991,0.0,0.009878038128408014,1.0,7.43925663748176,0.8793891578546008
6,Amihan,2.900734378876606,-0.21744865567739757,2.6832857231992087,31.8,1.4139729628133169,2.2805049293429804,9.689077107184712,0.0003396397111311907,7.266807830388534,92.52387093641812,2.70817519266063,0.31469347294824845,1.9187312055823595,0.4245013236600171,0.0,0.0037017234513394915,0.6666666666666666,0.6077429614568508,0.6407297883424031
7,Amihan,2.741353369048221,-0.21295610368677967,2.5283972653614413,42.8,1.7178975356684294,1.8551605829230937,1.6779488703015666,-0.002225313399134207,1.258461652726175,16.023231417837355,0.49773098158539353,0.0,1.4809932807120374,2.142698033339813,0.0,0.003235803969995935,0.8222222222222222,3.4812252137339814,2.124321742785674
8,Amihan,3.028239186739314,-0.3218383048641273,2.7064008818751866,47.7,2.001738247712419,1.8214416600758865,2.620677259199846,0.00026186899691618877,1.9655079443998846,25.025624403010546,0.7262442003928262,0.053052869177139375,1.7773104801182023,2.284507877952242,0.0,0.005388262059791105,1.0,4.836794578623976,1.3392576088405928
9,Amihan,3.750766431294658,-0.38880883036928804,3.3619576009253698,38.9,2.111185174764527,2.6164204685551478,0.0,-0.0007279659053332906,0.0,0.0,0.0,0.0,2.505418427861144,3.964267850863469,0.0,0.0,0.3333333333333333,-0.40780298863662856,0.7237223779800647
10,Amihan,4.09077925226188,-0.555793612905008,3.534985639356872,35.6,2.0577963398457872,2.8742995136513865,0.0,0.0,0.0,0.0,0.0,0.0,2.5250002833250744,4.844116629212045,0.0,0.0,0.6666666666666666,2.827999429077639,1.888157467314306
11,Amihan,3.899522040467818,-0.4876321796147029,3.4118898608531154,33.4,1.8781796556909152,2.848408960023305,0.0,0.0,0.0,0.0,0.0,0.0,2.5163410960598855,4.200882200795147,0.0,0.0,1.0,3.7906919974107995,0.9893530838578193
12,Amihan,3.591385421466274,-0.39370170717310865,3.1976837142931656,30.6,1.627753445045699,2.752380761958199,0.0,0.0,0.0,0.0,0.0,0.0,2.2506806738042573,3.6116117467827418,0.0,0.0,0.3333333333333333,-0.662468243836837,1.309885365423812
13,Amihan,3.315125004430407,-0.3796824739993647,2.9354425304310423,24.4,1.2126443128164257,2.6732595496990896,0.0,0.0,0.0,0.0,0.0,0.0,1.726792806765828,4.669900705530301,0.0,0.0,0.6666666666666666,2.278571217177008,2.0158616043345092
14,Amihan,2.911359779531832,-0.2308188928033405,2.6805408867284917,358.1,-0.08887381127722145,2.6790671680815,0.0,0.0,0.0,0.0,0.0,0.0,1.4412133070653161,3.196497597921086,0.0,0.0,1.0,3.8051273330039552,1.2585806511822877
15,Amihan,4.048277649640978,-0.5007516254577971,3.547526024183181,333.8,-1.5662535026079054,3.183047416835853,0.0,0.0,0.0,0.0,0.0,0.0,2.5289791850418917,4.950691630298655,0.0,0.0,0.3333333333333333,-0.06444003568967323,0.977003230250682
16,Amihan,5.450830536130765,-0.16468254823995548,5.28614798789081,347.3,-1.1621395707851827,5.156819966597369,0.0,0.0,0.0,0.0,0.0,0.0,5.622425101861303,0.0,18.0,0.0,0.6666666666666666,3.7587188527723256,1.9502585595439865
17,Amihan,6.024602171512951,-0.45684896396427643,5.567753207548675,358.8,-0.11660222547939092,5.566532107262278,0.0,0.0,0.0,0.0,0.0,0.0,6.23637844715036,0.0,18.0,0.0,0.3333333333333333,-0.3018996576904321,1.1724239484574057
18,Amihan,6.577123005584686,-0.5319492613452855,6.0451737442394,10.4,1.0912695972012239,5.94586043094401,0.0,0.0,0.0,0.0,0.0,0.0,7.3505114664595705,0.0,18.0,0.0,0.6666666666666666,3.7402713514037393,1.8067178884747919
19,Amihan,7.023389833104163,-0.7857967851928551,6.237593047911308,16.2,1.740232983459383,5.989921217731627,0.0,0.0,0.0,0.0,0.0,0.0,7.826941304550138,0.0,18.0,0.0,0.3333333333333333,-0.694220325370185,1.5220408370269416
20,Amihan,6.9065104258966805,-0.8608264170589173,6.045684008837763,4.5,0.47433890038970344,6.027047182683551,0.0,0.0,0.0,0.0,0.0,0.0,7.358633313573176,0.0,18.0,0.0,0.6666666666666666,3.7077084112067173,1.9358799708614758
21,Amihan,5.344576529578509,-0.8596409360175608,4.484935593560948,341.2,-1.4453408871229847,4.245660961311023,0.0,0.0,0.0,0.0,0.0,0.0,4.054676049574383,12.765486044545444,0.0,0.0,0.3333333333333333,-1.1055458432914405,1.42031042404963
22,Amihan,7.639663071107252,-0.5449210743498291,7.094741996757423,350.1,-1.2197926082170463,6.98909650766768,0.0,0.0,0.0,0.0,0.0,0.0,11.87681587499449,0.0,18.0,0.0,0.6666666666666666,4.578297724863709,1.7807132792639964
23,Amihan,9.892248010015091,0.8015493287532336,10.693797338768325,9.9,1.8385749550247825,10.534559490429778,23.038346126325152,0.0063995405906458755,17.278759594743864,220.0,1.6157739900402837,0.3033351520508954,35.9780609695353,0.0,18.0,0.0,1.0,32.66607373122546,2.1035551518114795
24,Amihan,8.510945924835756,0.22307624289401162,8.734022167729767,24.6,3.635805667602454,7.941288332117456,23.038346126325152,0.0,17.278759594743864,220.0,1.9783278840973137,0.34328184201598794,22.18706613013229,0.0,18.0,0.0,1.0,40.882516031035415,2.266240834636196
25,Amihan,6.481494399687654,0.1423810058303213,6.623875405517976,31.9,3.5003096887002307,5.62348268166776,23.038346126325152,0.0,17.278759594743864,220.0,2.608557458727244,0.3271790160239913,8.832864138396502,0.0,0.0,0.0,1.0,16.599310110614788,1.741396767101199
26,Amihan,4.9726875066456095,-0.4220821127511669,4.550605393894442,29.3,2.2269864246055864,3.96844313497921,20.87142488580896,-0.0006019225668100534,15.653568664356719,199.3074263968616,3.4398870720276356,0.139819537897093,4.174284977161792,0.0,0.0,0.0,1.0,36.10910115899804,2.266674271582152
27,Amihan,5.015189109266513,-0.3882243011355109,4.626964808131001,20.6,1.6279589252033564,4.331114530179673,21.594371753864458,0.00020081857445986055,16.19577881539834,206.2110604554918,3.5003030035883076,0.11883759164090986,4.318874350772892,0.0,0.0,0.0,0.2,-2.5581874684897326,0.3589564058426023
28,Amihan,5.387078132199411,-0.28256551127243773,5.1045126209269736,11.4,1.0089443885841083,5.0038065827874885,23.038346126325152,0.00040110399235019283,17.278759594743864,220.0,3.3849969385727685,0.15801710525414392,5.262549087232676,0.0,0.0,0.0,1.0,39.754961854730574,2.264441888870502
29,Amihan,4.16515705684846,0.03404345493289643,4.199200511781356,348.4,-0.8443665093840663,4.113432889445916,17.84770036094449,-0.0014418460459390727,13.385775270708368,170.43298411603922,3.187696141956781,0.21662488902628585,3.5695400721888975,0.0,0.0,0.0,0.2777777777777778,-1.6719299837520987,0.3888251475397913
30,Amihan,3.67638862670808,0.312136311547762,3.988524938255842,324.7,-2.3047995456148884,3.2551851310827424,16.122362882663356,-0.0004792604106336482,12.091772161997518,153.95722482583034,3.031640104846675,0.2554418584389509,3.224472576532672,0.0,0.0,0.0,1.0,28.308601160217332,2.2637820962012714
31,Amihan,3.6020108221215,0.5170483028933146,4.1190591250148145,332.2,-1.921074146677032,3.6436413377741945,17.18046406782063,0.00029391699587702036,12.885348050865472,164.0613468603807,3.128226048665696,0.23220263316502504,3.436092813564126,0.0,0.0,0.0,1.0,5.961780444812393,0.4895893565128469
32,Amihan,4.398915871263424,0.49053738067241,4.889453251935834,354.9,-0.4346445088921764,4.8700962263343195,23.038346126325152,0.0016271894606957006,17.278759594743864,220.0,3.533883791179076,0.10674371526187797,4.827160075817307,0.0,0.0,0.0,1.0,31.45924379536743,1.970927868415453
33,Amihan,5.525208340717345,0.5587618810629933,6.083970221780339,8.6,0.9097685766152246,6.015564378885277,23.038346126325152,0.0,17.278759594743864,220.0,2.840046707146377,0.2939918259511242,7.447649054144038,0.0,0.0,0.0,0.4222222222222222,13.341282608053717,0.9949829955739327
34,Amihan,5.599586145303924,0.347777753980682,5.947363899284606,23.0,2.3238202079038417,5.474577334539311,23.038346126325152,0.0,17.278759594743864,220.0,2.9052803708248427,0.2819933044864103,7.099165483315246,0.0,0.0,0.0,0.8777777777777778,22.394064131163624,1.5207994310831008
35,Amihan,5.737716353821859,1.0023020883102052,6.7400184421320635,32.6,3.631325027028226,5.678144692446537,23.038346126325152,0.0,17.278759594743864,220.0,2.5636071685996886,0.33192439040235205,9.100918089273646,0.0,0.0,0.0,1.0,21.89832730771516,1.4878713423792789
36,Amihan,5.939598966271145,0.7523850176868181,6.691983983957963,38.0,4.119996732419236,5.273355342322827,23.038346126325152,0.0,17.278759594743864,220.0,2.582008509907457,0.33004856422867174,8.965695902421396,0.0,0.0,0.0,1.0,20.883805902620036,1.4512942142007412
37,Amihan,5.748341754477084,0.2571154466154216,6.005457201092506,37.2,3.630894108124404,4.783526332084033,23.038346126325152,0.0,17.278759594743864,220.0,2.8771763774455894,0.28730517728140004,7.220965070572113,0.0,0.0,0.0,1.0,22.814203400043944,1.5413653671632437
38,Amihan,5.525208340717345,0.17871893760203322,5.703927278319378,32.0,3.022620946566712,4.837204668993453,23.038346126325152,0.0,17.278759594743864,220.0,3.0292741740275004,0.25597910957103615,6.514266006343865,0.0,0.0,0.0,1.0,20.632989307522223,1.4256874142361309
39,Amihan,5.535833741372571,0.787429038371163,6.323262779743733,28.2,2.9880626630359215,5.572713316102231,23.038346126325152,0.0,17.278759594743864,220.0,2.7325702246782364,0.31122231817389084,8.00571250241401,0.0,0.0,0.0,0.8111111111111111,21.51269742112127,1.4604724044736943
40,Amihan,5.535833741372571,0.8577309118858493,6.39356465325842,26.0,2.8027542691190037,5.746497844977466,23.038346126325152,0.0,17.278759594743864,220.0,2.702523636159354,0.3154744133927396,8.189889659299961,0.0,0.0,0.0,0.8222222222222222,19.854467020633987,1.387613238970896
41,Amihan,5.344576529578509,1.1531748978278338,6.497751427406342,25.4,2.7871138753350206,5.869648188629039,23.038346126325152,0.0,17.278759594743864,220.0,2.6591906119808115,0.3211720287711097,8.466586485246303,0.0,0.0,0.0,0.7333333333333333,21.001525322234045,1.4483550499501727
42,Amihan,5.259573324336704,1.3195905202562708,6.5791638445929745,27.8,3.0684341217253994,5.819803169749874,23.038346126325152,0.0,17.278759594743864,220.0,2.6262850421249584,0.32515561406296206,8.69542078124176,0.0,0.0,0.0,0.6666666666666666,18.135298693976896,1.3396129831208394
43,Amihan,5.12144311581877,1.211554045556031,6.3329971613748,33.2,3.467716340051556,5.299226021875338,23.038346126325152,0.0,17.278759594743864,220.0,2.728370020458512,0.3118315595774356,8.0663128645504,0.0,0.0,0.0,0.6666666666666666,19.944981032615978,1.4061504360922226
44,Amihan,4.55829688109181,0.6305147829623656,5.1888116640541755,33.5,2.8638970672101056,4.326876480031527,23.038346126325152,0.0,17.278759594743864,220.0,3.3300032287630663,0.17542283048623675,5.420171845685806,0.0,0.0,0.0,0.5666666666666667,17.47441073763501,1.274253960530643
45,Amihan,4.3776650699529736,0.9169048308461445,5.294569900799118,23.6,2.1196759375897822,4.851746526154356,23.038346126325152,0.0,17.278759594743864,220.0,3.2634869155539814,0.19537048951403035,5.64620198798404,0.0,0.0,0.0,0.8555555555555555,20.872164412914348,1.3051446790850907
46,Amihan,5.408328933509862,0.5862874475912523,5.994616381101115,15.4,1.5919070519880363,5.779382103166098,23.038346126325152,0.0,17.278759594743864,220.0,2.882379537949688,0.28633803053345686,7.235809737617338,0.0,0.0,0.0,0.5333333333333333,11.143131511927038,0.8826939378850494
47,Amihan,6.279611787238367,0.13810479758675603,6.417716584825123,14.9,1.650205391131302,6.201927791438774,23.038346126325152,0.0,17.278759594743864,220.0,2.692353170534204,0.31685778297371914,8.291599355218494,0.0,0.0,0.0,1.0,29.323232013132206,1.8229479740267953
48,Amihan,6.279611787238367,-0.3354896004819419,5.944122186756426,15.8,1.6184670574493987,5.719541323833676,23.038346126325152,0.0,17.278759594743864,220.0,2.906864807261389,0.2816874025349069,7.114662810626886,0.0,0.0,0.0,1.0,20.342023097336607,1.4756373071486801
49,Amihan,5.865221161684565,-0.7197825541624217,5.145438607522143,25.3,2.1989436495006336,4.651901255411625,23.038346126325152,0.0,17.278759594743864,220.0,3.358073220324494,0.16664189286271086,5.333680401276338,0.0,0.0,0.0,1.0,25.955144996314676,1.6913633019884833
50,Amihan,5.270198724991928,-0.6899659287162839,4.580232796275644,42.1,3.070709987651286,3.3984220808807204,21.14337507824799,-0.0005263808466881009,15.857531308685992,201.9043594409494,3.462167102418972,0.13219803591795073,4.228675015649597,0.0,0.0,0.0,0.8888888888888888,15.604952654401025,1.3055282889837214
51,Amihan,4.462668275194779,-0.5577469205094491,3.90492135468533,46.7,2.8418953827338727,2.678066731781232,15.37903648954939,-0.0016012051635273883,11.534277367162042,146.8589806381449,2.9537796845313187,0.272318619342091,3.0758072979098783,0.0,0.0,0.0,0.6,14.938797510095451,1.4938588945167475
52,Amihan,3.857020437846916,-0.7270653036906235,3.1299551341562926,34.6,1.7773254452274914,2.5763799028051424,10.360723649758837,-0.0013939757888307093,7.770542737319127,98.93762297209332,2.482637099976753,0.3390783962503343,1.977565463516326,0.0,0.0,0.0,1.0,9.439260949990498,1.1221700940439412
53,Amihan,4.101404652917106,-0.8486863553155881,3.2527182976015174,22.4,1.239514585828433,3.0072878005056785,10.680827384140361,8.89177039948678e-05,8.010620538105272,101.99438846983298,2.462746480078563,0.3405615236414898,2.1361654768280722,0.0,0.0,0.0,1.0,8.652960126248699,1.1900389166630738
54,Amihan,4.8345572981276765,-0.866580529649358,3.9679767684783185,17.0,1.1601241321002222,3.7945950552466523,0.0,-0.0029668964955945447,0.0,0.0,0.0,0.0,3.1783918744813846,7.855347014807072,0.0,0.0,0.6333333333333333,2.1845233602978666,1.734910966995309
55,Amihan,5.620836946614376,-0.9425019649085837,4.678334981705792,17.8,1.4301450389521173,4.45438024517584,0.0,0.0,0.0,0.0,0.0,0.0,4.413975417216255,15.135207907200412,0.0,0.0,0.5444444444444444,2.138954519646587,1.4044476089231175
56,Amihan,6.513370601653332,-1.0883146652235849,5.425055936429747,22.3,2.058570890867662,5.0193144751712815,0.0,0.0,0.0,0.0,0.0,0.0,5.925755799525355,0.0,18.0,0.0,0.45555555555555555,1.0540093067516965,1.4344347201015804
57,Amihan,6.725878614757844,-1.378951485418305,5.346927129339539,28.2,2.526694504668494,4.712265337026896,0.0,0.0,0.0,0.0,0.0,0.0,5.751498873818377,0.0,18.0,0.0,0.5444444444444444,2.0150126565762356,1.7213173060546012
58,Amihan,6.215859383307013,-1.4368794520490316,4.7789799312579815,32.1,2.539543147015917,4.048378661613935,0.0,0.0,0.0,0.0,0.0,0.0,4.590869184955658,16.319078496995363,0.0,0.0,0.45555555555555555,0.5112545124824457,1.6178890886406483
59,Amihan,5.992725969547274,-1.9670985343118654,4.025627435235409,33.4,2.21603036985485,3.3607864626008284,0.0,0.0,0.0,0.0,0.0,0.0,3.2529944774660207,8.182087335201764,0.0,0.0,0.5444444444444444,1.758593683351154,1.631291584799194
60,Amihan,5.758967155132309,-1.7135001790476805,4.0454669760846285,31.0,2.083569523474825,3.4676420079699977,0.0,0.0,0.0,0.0,0.0,0.0,3.281418697399169,8.316276412549938,0.0,0.0,0.45555555555555555,0.6822045555210351,1.4498174726178696
61,Amihan,5.51458294006212,-1.6150242605134337,3.8995586795486856,26.2,1.7216779803255944,3.498911663261231,0.0,0.0,0.0,0.0,0.0,0.0,3.0461453395530316,7.1598221405608,0.0,0.0,0.5444444444444444,1.7415664887513427,1.5333471863514267
62,Amihan,5.163944718439673,-1.3316590834818112,3.832285634957862,18.5,1.2160020766464747,3.63424712113745,0.0,0.0,0.0,0.0,0.0,0.0,2.9400931482479424,6.665746890232454,0.0,0.0,0.45555555555555555,0.8406885860617248,1.3268376494985308
63,Amihan,4.8558080994381285,-1.0810125566621684,3.7747955427759603,9.1,0.597014367326285,3.727285236598784,0.0,0.0,0.0,0.0,0.0,0.0,2.8532069425370854,6.279054324101268,0.0,0.0,0.5444444444444444,1.6880184253925337,1.4061117807915504
64,Amihan,4.8345572981276765,-1.3118532413822495,3.522704056745427,16.2,0.9828031010402866,3.3828304622011856,0.0,0.0,0.0,0.0,0.0,0.0,2.5258448940008242,4.77333350849235,0.0,0.0,0.45555555555555555,1.2629448351365282,1.2029494898277477
65,Amihan,4.866433500093354,-0.8204229092965865,4.046010590796768,21.0,1.4499605192624065,3.7772762929682417,0.0,0.0,0.0,0.0,0.0,0.0,3.286348547116347,8.35157004781885,0.0,0.0,0.5444444444444444,2.0960325847319368,1.3776544714371182
66,Amihan,4.770804894196323,-0.4342612071389696,4.336543687057354,22.4,1.652528334886351,4.009334265455393,0.0,0.0,0.0,0.0,0.0,0.0,3.781058776756325,11.072205179646858,0.0,0.0,0.45555555555555555,1.3485212795896142,1.211000762388526
67,Amihan,4.367039669297748,-0.22826508601504555,4.138774583282703,26.4,1.840244778443928,3.7071490672262923,0.0,0.0,0.0,0.0,0.0,0.0,3.445891107939212,9.201155973363798,0.0,0.0,0.5888888888888889,2.2850199319950435,1.3546819302582498
68,Amihan,3.825144235881239,-0.33853358663024624,3.4866106492509927,35.3,2.0147645469264095,2.8455540128275283,0.0,0.0,0.0,0.0,0.0,0.0,2.515819712407365,4.633675245623941,0.0,0.0,1.0,3.908316051356096,1.1999995820227172
69,Amihan,3.495756815569244,-0.24585049686571658,3.2499063187035273,45.4,2.314017945947628,2.281931643625951,0.0,0.0,0.0,0.0,0.0,0.0,2.2024476541410283,3.9936922220477182,0.0,0.0,0.6555555555555556,1.613041870812984,1.2990346102983175
70,Amihan,2.996362984773637,-0.2718847821790842,2.7244782025945526,53.2,2.1815751662834773,1.6320267369954642,1.282567824106681,0.0003562688400296336,0.9619258680800107,12.24762054343169,0.35306792587437746,0.0,1.69775506068488,2.5241648298921384,0.0,0.002913671334205233,0.5444444444444444,1.380098943559725,1.5429956347709142
71,Amihan,2.550096157254159,-0.12053132216410163,2.429564835090057,52.3,1.9223288723935323,1.4857445925422,14.843113276838407,0.003766818181314369,11.132334957628805,141.74129093290637,4.5820283520921805,0.0,1.1874490621470999,0.0,0.0,0.0,1.0,16.876028193525272,1.5812830690256356
72,Amihan,2.4650929520123537,-0.17677220368173996,2.2883207483306136,54.1,1.8536350928438816,1.3418080301660271,13.171413421045692,-0.000464361071053532,9.878560065784269,125.77773320798123,4.316947295518307,0.0,1.0537130736836489,0.0,0.0,0.0,0.9111111111111111,10.056072277237742,1.1458005682415242
73,Amihan,2.3163373428391947,-0.324213625467857,1.9921237173713378,55.1,1.633844003774735,1.1397853642869529,9.987318482181147,-0.0008844708163512626,7.4904888616358605,95.37186628033051,3.7600520471287635,0.01725904827627901,0.7989854785744792,0.0,0.0,0.0,0.6777777777777778,6.5304274771557065,1.1190951820567565
74,Amihan,2.018826124492876,-0.3861064937459302,1.6327196307469456,53.8,1.3175399428708683,0.9642934675534579,6.712083144552129,-0.0009097875937858382,5.034062358414097,64.09567265395584,3.0832374791200903,0.24334454860045154,0.5369666515641576,0.0,0.0,0.0,0.8111111111111111,4.5809434416586425,1.2903151743162364
75,Amihan,1.317549681247982,-0.38446382463468337,0.9330858566132987,40.8,0.6096975240028865,0.7063413799548508,2.817983578196799,-0.0010816943239875918,2.113487683647599,26.909760961308425,2.2650516762933828,0.34942144445078016,0.22543868625574393,0.0,0.0,0.0,0.8333333333333334,3.3386331667800797,1.4793365634996247
76,Amihan,0.9244098570046326,-0.2994467596645828,0.6249630973400498,322.5,-0.38045342821444517,0.49581656083348474,1.495800816799195,-0.0003672729892771122,1.1218506125993963,14.283845632469186,1.7950669685525193,0.3275821226620952,0.11966406534393559,0.0,0.0,0.0,0.7888888888888889,2.528855165273161,1.5089639916876953
77,Amihan,1.9763245218719727,-0.3665110404846825,1.6098134813872902,289.8,-1.5146425462405522,0.5453048706679635,6.53621901911339,0.0014001161673094986,4.902164264335043,62.416293961389336,3.04517530820434,0.25233888454710734,0.522897521529075,0.0,0.0,0.0,1.0,7.275051670020852,1.4194280582258123
78,Amihan,2.2844611408735176,-0.3285343744390763,1.9559267664344413,289.3,-1.8460055433879345,0.6464619473996177,9.655108964954035,0.0008663583182890681,7.241331723715526,92.19949907179848,3.702250947215227,0.04145887970970078,0.772408717196332,0.0,0.0,0.0,1.0,10.240527300170031,1.4763230721394078
79,Amihan,2.64572476315119,-0.14139909677551743,2.5043256663756726,327.7,-1.3381923034650844,2.1168109037452467,8.522728357755259,-0.0003145501686663267,6.392046268316444,81.38606080597326,2.55240217122687,0.3330212689062913,1.9760215432868133,0.9265840204225707,0.0,0.00710732151602849,1.0,10.807098125391068,1.5974736585679636
80,Amihan,2.7519787697034466,-0.17171211038104178,2.5802666593224046,329.1,-1.3250733708723785,2.214036267773343,8.162214702414008,-0.0001001426820392363,6.121661026810506,77.94340898799199,2.37249162007856,0.34593215794958426,2.0533551761997213,1.1512966560531237,0.0,0.008457417443589202,0.9222222222222223,6.55629160353496,1.0479642112330223
81,Amihan,2.72010256773777,-0.11695729229382637,2.6031452754439437,324.1,-1.5264124300876993,2.1086560692393364,9.885415328641855,0.00047866684061884633,7.414061496481391,94.39876284418467,2.848116686540665,0.2925705727420478,2.139170060781394,0.7527699834204531,0.0,0.00669729953974142,0.6333333333333333,4.634997056409785,0.9786635883463295
82,Amihan,3.1451185939467963,0.39786946851904886,3.542988062465845,333.5,-1.5808735253464183,3.170741759846467,12.65097663291277,0.0007682114734085873,9.488232474684576,120.80792796408777,2.6780311723887,0.3187578786635311,2.530195326582554,0.0,0.0,0.0,0.9666666666666667,15.608670502856285,1.7508288505851655
83,Amihan,3.2088709978781504,0.45904429062924057,3.667915288507391,343.7,-1.0294617126256125,3.520484504426088,13.56113208977991,0.0002528209602408725,10.170849067334933,129.49927236063584,2.772923654808239,0.30512323047515993,2.712226417955982,0.0,0.0,0.0,1.0,13.299688616862186,1.3159590010846607
84,Amihan,3.1026169913258936,0.6029232052423624,3.705540196568256,348.5,-0.7387658948897087,3.631150382582759,13.837069831517729,7.664937270494962e-05,10.377802373638296,132.13428369562715,2.8006179458663816,0.30067981604927224,2.7674139663035455,0.0,0.0,0.0,1.0,9.627682487215752,1.177464159413346
85,Amihan,2.9326105808422827,0.5367337272563136,3.4693443080985964,343.8,-0.9679162057473303,3.3315894325063256,12.133770306345522,-0.00047313875699227985,9.10032772975914,115.86897135579305,2.62306848833538,0.325529128500846,2.4267540612691043,0.0,0.0,0.0,1.0,13.50942797221211,1.614723475580384
86,Amihan,2.443842150701902,0.41993904821374617,2.8637811989156483,333.7,-1.2688589460634536,2.567340984415099,11.62123520426843,-0.00014237086168808095,8.715926403201323,110.97462165557236,3.043502906751937,0.25272499851771946,2.5934530302646395,0.9229524064848773,0.0,0.00965326229829569,1.0,12.030902934241231,1.3432660022904015
87,Amihan,1.83819431335404,0.19236053219098218,2.030554845545022,327.8,-1.0820345044514075,1.7182416337474091,10.41082904431796,-0.0003362239333195749,7.80812178323847,99.41609424527257,3.8453143978697555,0.0,0.8328663235454322,0.0,0.0,0.0,0.6555555555555556,5.402707385128065,0.9486340329673425
