hour_of_year,season,u_mean_ms,u_prime_ms,omega_rad_s,omega_cross_r_ms,tsr,cp_effective,v_rel_ms,v_rel_mag_ms,particle_density,n_inner,n_outer,h_capture,dh_dt,capture_alert
1,Amihan,3.3363758057408583,0.10166506924886924,13.345503222963435,10.009127417222576,3.0000000000000004,0.3,-6.571086542232848,6.571086542232848,0.0,0,0,0.0,0.0,0
2,Amihan,3.1238677926363447,-0.32487728543383787,12.495471170545379,9.371603377909034,3.0,0.3,-6.572612870706527,6.572612870706527,0.0,0,0,0.0,0.0,0
3,Amihan,2.911359779531832,0.2184833427972487,11.645439118127328,8.734079338595496,3.0,0.3,-5.604236216266415,5.604236216266415,0.1375,0,11,0.04125,1.1458333333333333e-05,0
4,Amihan,2.836981974945252,0.26683651466713665,11.347927899781007,8.510945924835756,3.0,0.3,-5.407127435223368,5.407127435223368,0.0,0,0,0.0,-1.1458333333333333e-05,1
5,Amihan,2.858232776255704,-0.5576512723838626,11.432931105022815,8.574698328767111,3.0,0.3,-6.27411682489527,6.27411682489527,0.0,0,0,0.0,0.0,0
6,Amihan,2.900734378876606,-0.37772768630241116,11.602937515506424,8.702203136629818,3.0,0.3,-6.179196444055623,6.179196444055623,0.8,14,64,0.24,6.666666666666667e-05,0
7,Amihan,2.741353369048221,0.03504557199231206,10.965413476192884,8.224060107144663,3.0,0.3,-5.44766116610413,5.44766116610413,0.0,0,0,0.0,-6.666666666666667e-05,1
8,Amihan,3.028239186739314,-0.09576582106508619,12.112956746957257,9.084717560217943,3.0000000000000004,0.3,-6.152244194543715,6.152244194543715,0.0,0,0,0.0,0.0,0
9,Amihan,3.750766431294658,-0.006301721757398075,15.003065725178631,11.252299293883974,3.0,0.3,-7.507834584346714,7.507834584346714,0.8,0,64,0.24,6.666666666666667e-05,0
10,Amihan,4.09077925226188,-0.34896144001859875,16.36311700904752,12.27233775678564,3.0,0.3,-8.530519944542359,8.530519944542359,0.0,0,0,0.0,-6.666666666666667e-05,1
11,Amihan,3.899522040467818,0.3429231785320364,15.598088161871273,11.698566121403454,3.0,0.3,-7.456120902403599,7.456120902403599,0.0,0,0,0.0,0.0,0
12,Amihan,3.591385421466274,0.27933506178335626,14.365541685865097,10.774156264398822,3.0,0.3,-6.9034357811491915,6.9034357811491915,0.975,3,78,0.2925,8.125e-05,0
13,Amihan,3.315125004430407,0.021890001654516923,13.260500017721627,9.94537501329122,3.0,0.3,-6.608360007206297,6.608360007206297,0.0,0,0,0.0,-8.125e-05,1
