station,datetime_utc,datetime_ph,synop_raw,wind_speed_ms,wind_direction_deg,wind_unit_code,missing_wind_flag
98747,2023-01-01T03:00:00+00:00,2023-01-01T11:00:00+08:00,AAXX 01031 98747 41470 70303 10282 20246 30033 40119 58007 70544 82138 333 82816 84358 85272==,3.000,30.0,1,0
98747,2023-01-01T06:00:00+00:00,2023-01-01T14:00:00+08:00,AAXX 01061 98747 41460 80305 10274 20242 30011 40097 57022 78044 8297/ 333 88358 82915==,5.000,30.0,1,0
98747,2023-01-01T09:00:00+00:00,2023-01-01T17:00:00+08:00,AAXX 01091 98747 41460 80406 10250 20242 30014 40100 53003 76166 8462/ 333 84715 88458==,6.000,40.0,1,0
98747,2023-01-01T15:00:00+00:00,2023-01-01T23:00:00+08:00,AAXX 01151 98747 41460 80202 10253 20240 30033 40119 53005 72586 8387/ 333 83616 88358==,2.000,20.0,1,0
98747,2023-01-01T18:00:00+00:00,2023-01-02T02:00:00+08:00,AAXX 01181 98747 12460 80503 10258 20236 30009 40095 58024 69991 8387/ 333 83816 88358==,3.000,50.0,1,0
98747,2023-01-01T21:00:00+00:00,2023-01-02T05:00:00+08:00,AAXX 01211 98747 42460 80604 10253 20234 30010 40096 55001 8387/ 333 83816 88358==,4.000,60.0,1,0
98747,2023-01-02T00:00:00+00:00,2023-01-02T08:00:00+08:00,AAXX 02001 98747 11470 50301 10267 20244 30023 40109 53013 69954 70544 82871 333 20245 58017 70005 82816 85358==,1.000,30.0,1,0
98747,2023-01-02T03:00:00+00:00,2023-01-02T11:00:00+08:00,AAXX 02031 98747 41470 80503 10273 20242 30016 40102 58007 70544 83808 333 83816 88272==,3.000,50.0,1,0
98747,2023-01-02T09:00:00+00:00,2023-01-02T17:00:00+08:00,AAXX 02091 98747 41470 60104 10263 20244 39998 40084 53005 70544 83870 333 83816 86358==,4.000,10.0,1,0
98747,2023-01-02T12:00:00+00:00,2023-01-02T20:00:00+08:00,AAXX 02121 98747 11458 81202 10256 20244 30017 40103 53019 60031 76086 8462/ 333 10279 59009 88457 84915==,2.000,120.0,1,0
98747,2023-01-02T18:00:00+00:00,2023-01-03T02:00:00+08:00,AAXX 02181 98747 11458 82201 10241 20232 30004 40090 58019 60101 76166 8462/ 333 84615 88457==,1.000,220.0,1,0
98747,2023-01-02T21:00:00+00:00,2023-01-03T05:00:00+08:00,AAXX 02211 98747 41458 80901 10234 20230 39999 40085 56005 76166 8462/ 333 84615 88457==,1.000,90.0,1,0
98747,2023-01-03T03:00:00+00:00,2023-01-03T11:00:00+08:00,AAXX 03031 98747 41470 70405 10275 20238 30008 40094 58007 70544 82170 333 82816 87358==,5.000,40.0,1,0
98747,2023-01-03T12:00:00+00:00,2023-01-03T20:00:00+08:00,AAXX 03121 98747 11460 80502 10265 20242 30001 40087 52017 60001 72584 8387/ 333 10290 59016 83616 88358==,2.000,50.0,1,0
98747,2023-01-04T03:00:00+00:00,2023-01-04T11:00:00+08:00,AAXX 04031 98747 41465 83303 10272 20244 30014 40100 50001 70544 82210 333 82816 88458==,3.000,330.0,1,0
98747,2023-01-05T03:00:00+00:00,2023-01-05T11:00:00+08:00,AAXX 05031 98747 41470 50202 10282 20255 30025 40111 58003 70544 82870 333 82816 85358==,2.000,20.0,1,0
98747,2023-01-07T03:00:00+00:00,2023-01-07T11:00:00+08:00,AAXX 07031 98747 41470 81001 10271 20229 30022 40108 58009 70566 8287/ 333 82816 88358==,1.000,100.0,1,0
98747,2023-01-07T06:00:00+00:00,2023-01-07T14:00:00+08:00,AAXX 07061 98747 11470 80304 10281 20226 30001 40087 56021 69941 70566 8287/ 333 82816 88358==,4.000,30.0,1,0
98747,2023-01-07T09:00:00+00:00,2023-01-07T17:00:00+08:00,AAXX 07091 98747 41470 80406 10267 20237 30002 40088 53001 70544 8287/ 333 82816 88358==,6.000,40.0,1,0
98747,2023-01-07T15:00:00+00:00,2023-01-07T23:00:00+08:00,AAXX 07151 98747 42460 83602 10262 20235 30028 40114 51011 8287/ 333 82816 88358==,2.000,360.0,1,0
98747,2023-01-08T00:00:00+00:00,2023-01-08T08:00:00+08:00,AAXX 08001 98747 11450 83603 10220 20205 30057 40143 52032 60164 76166 8362/ 333 20234 58026 70160 83715 88457==,3.000,360.0,1,0
98747,2023-01-08T03:00:00+00:00,2023-01-08T11:00:00+08:00,AAXX 08031 98747 41450 83605 10240 20226 30057 40137 58006 76166 8362/ 333 83715 88457==,5.000,360.0,1,0
98747,2023-01-08T06:00:00+00:00,2023-01-08T14:00:00+08:00,AAXX 08061 98747 11460 82102 10247 20227 30029 40115 57002 60081 72566 8387/ 333 83816 88358==,2.000,210.0,1,0
98747,2023-01-08T09:00:00+00:00,2023-01-08T17:00:00+08:00,AAXX 08091 98747 41465 80102 10251 20230 30024 40110 55005 70544 8387/ 333 83816 88358==,2.000,10.0,1,0
98747,2023-01-08T15:00:00+00:00,2023-01-08T23:00:00+08:00,AAXX 08151 98747 42460 80302 10254 20229 30042 40128 50000 8387/ 333 83816 88358==,2.000,30.0,1,0
98747,2023-01-08T18:00:00+00:00,2023-01-09T02:00:00+08:00,AAXX 08181 98747 42460 80502 10250 20236 30026 40112 58016 8387/ 333 83816 88358==,2.000,50.0,1,0
98747,2023-01-09T03:00:00+00:00,2023-01-09T11:00:00+08:00,AAXX 09031 98747 41470 83402 10266 20241 30033 40119 58004 70544 8288/ 333 82816 88272==,2.000,340.0,1,0
98747,2023-01-09T06:00:00+00:00,2023-01-09T14:00:00+08:00,AAXX 0906/ 98747 31470 80305 10269 20240 30010 40096 57023 70544 8387/ 333 56990 83816 88358=,5.000,30.0,/,0
98747,2023-01-09T09:00:00+00:00,2023-01-09T17:00:00+08:00,AAXX 09091 98747 41470 83402 10262 20239 30014 40100 53004 70544 8388/ 333 83816 88272==,2.000,340.0,1,0
98747,2023-01-09T12:00:00+00:00,2023-01-09T20:00:00+08:00,AAXX 09121 98747 42460 83101 10254 20237 30025 40111 53011 8387/ 333 10269 59017 83816 88358==,1.000,310.0,1,0
98747,2023-01-09T15:00:00+00:00,2023-01-09T23:00:00+08:00,AAXX 09151 98747 42460 82201 10247 20240 30024 40110 56001 8497/ 333 82816 88358 82915==,1.000,220.0,1,0
98747,2023-01-09T18:00:00+00:00,2023-01-10T02:00:00+08:00,AAXX 09181 98747 11460 82201 10240 20231 30005 40091 58019 69941 76086 8362/ 333 83716 88458==,1.000,220.0,1,0
98747,2023-01-10T03:00:00+00:00,2023-01-10T11:00:00+08:00,AAXX 10031 98747 41465 81101 10255 20240 30015 40101 58010 76066 8382/ 333 83616 88458==,1.000,110.0,1,0
