hour_of_year,datetime,month,hour_of_day,season,wind_speed_10m_ms,wind_direction_10m_deg,wind_speed_50m_ms,wind_speed_15m_ms,wind_speed_20m_ms,wind_speed_25m_ms,wind_speed_30m_ms,wind_speed_40m_ms,air_temp_c,relative_humidity_pct,air_density_kgm3,outlier_flag,wind_speed_50m_ms_derived,alpha_actual
1,2023-01-01 00:00:00,1,0,Amihan,3.14,45.0,4.38,3.3363758057408583,3.483110574274141,3.6013566688581067,3.700944537811589,3.863713144146604,25.5,92.01,1.1204043194374689,0,3.994880093959353,0.2067963739991868
2,2023-01-01 01:00:00,1,1,Amihan,2.94,47.3,4.03,3.1238677926363447,3.261256397568782,3.371970893771602,3.465215586358622,3.61761676553854,25.43,92.25,1.1206669904213276,0,3.740429132560668,0.1959421933406915
3,2023-01-01 02:00:00,1,2,Amihan,2.74,47.2,3.7,2.911359779531832,3.039402220863423,3.1425851186850995,3.2294866349056544,3.371520386930476,25.42,92.17,1.1207045249020329,0,3.485978171161983,0.1866334183689729
4,2023-01-01 03:00:00,1,3,Amihan,2.67,44.2,3.57,2.836981974945252,2.9617532590165467,3.062300097404823,3.146981501897116,3.2853866544176533,25.44,92.05,1.1206294584547374,0,3.396920334672443,0.1804897977953428
5,2023-01-01 04:00:00,1,4,Amihan,2.69,37.3,3.61,2.858232776255704,2.9839386766870826,3.085238674913473,3.1705543970424124,3.30999629227846,25.5,91.84,1.1204043194374689,0,3.4223654308123117,0.1827759719454767
6,2023-01-01 05:00:00,1,5,Amihan,2.73,31.8,3.67,2.900734378876606,3.0283095120281547,3.131115829930774,3.217700187333006,3.3592155680000726,25.57,91.71,1.1201417715586504,0,3.473255623092048,0.1838468266365795
7,2023-01-01 06:00:00,1,6,Amihan,2.58,42.8,3.55,2.741353369048221,2.8619188794991355,2.9590764986158966,3.0409034737432803,3.174643284044025,25.99,90.99,1.1185690646520023,0,3.282417402043035,0.1983041421405975
8,2023-01-01 07:00:00,1,7,Amihan,2.85,47.7,3.73,3.028239186739314,3.1614220180513706,3.2687472949826764,3.3591375582047864,3.506873395164911,26.9,88.27,1.115176637227129,0,3.6259261999312593,0.1671945449378638
9,2023-01-01 08:00:00,1,8,Amihan,3.53,38.9,4.37,3.7507664312946583,3.915726218849592,4.048658930276789,4.160615993144876,4.343601082432328,27.3,85.68,1.1136919620569148,0,4.491059468686788,0.1326333476508271
10,2023-01-01 09:00:00,1,9,Amihan,3.85,35.6,4.53,4.09077925226188,4.270692901578167,4.415676170415194,4.537782315469624,4.73735528820523,27.33,84.43,1.1135807707667733,0,4.898181006924684,0.1010593760335005
